ticker,one_day_50,yahoo,difference,one_day_200,yahoo,difference,five_min_50,yahoo,difference,five_min_200,yahoo,difference,one_min_50,yahoo,difference,one_min_200,yahoo,difference,last_price,yahoo,difference,net absolute difference
JNK,94.94,94.94,0,103.17,103.17,0,90.69,90.69,0,90.66,90.65,0.01,90.74,90.75,-0.01,90.7,90.7,0,90.61,90.61,0,0.00
GDX,31.66,31.66,0,32.95,32.95,0,26.61,26.41,0.2,26.68,26.95,-0.27,26.77,26.68,0.09,26.57,26.47,0.1,26.79,26.79,0,0.12
VCR,248.4,248.4,0,300.66,300.66,0,235.45,235.45,0,232.96,232.96,0,236.84,236.84,0,235.82,235.82,0,236.19,236.19,0,0
VDC,190.21,190.21,0,191.66,191.66,0,187.59,187.59,0,186.71,186.71,0,188.18,188.18,0,187.74,187.74,0,187.4,187.4,0,0
VIG,149.02,149.02,0,159.14,159.14,0,144.55,144.55,0,143.56,143.56,0,145.3,145.24,0.06,144.67,144.7,-0.03,144.86,144.86,0,0.03
VDE,111.6,111.6,0,94.69,94.69,0,94.07,94.01,0.06,95.76,95.86,-0.1,94.91,94.92,-0.01,94.25,94.24,0.01,94.63,94.63,0,0.04
VFH,82.05,82.05,0,92.41,92.41,0,77.66,77.66,0,77.39,77.39,0,78.07,78.05,0.02,77.69,77.7,-0.01,77.8,77.8,0,0.01
VWO,42.29,42.29,0,47.31,47.31,0,40.72,40.71,0.01,40.78,40.81,-0.03,40.84,40.86,-0.02,40.74,40.74,0,40.79,40.79,0,0.04
VHT,236,236,0,247.92,247.92,0,239.07,239.06,0.01,237,236.96,0.04,239.97,239.94,0.03,239.29,239.3,-0.01,239.42,239.42,0,0.07
VIS,172.55,172.55,0,189.5,189.5,0,162.91,162.91,0,162.66,162.67,-0.01,163.64,163.64,0,162.35,162.33,0.02,163.64,163.64,0,0.01
VGT,348.07,348.07,0,403.05,403.05,0,334.37,334.27,0.1,329.72,329.43,0.29,336.12,336.15,-0.03,334.4,334.39,0.01,334.85,334.85,0,0.37
VAW,178.16,178.16,0,185.27,185.27,0,157.4,157.4,0,157.58,157.59,-0.01,158.72,158.72,0,157.41,157.41,0,158.71,158.71,0,0.01
VNQ,96.2,96.2,0,104.75,104.75,0,92.65,92.66,-0.01,92.05,91.98,0.07,92.65,92.67,-0.02,92.69,92.69,0,92.32,92.32,0,0.04
VOO,365.87,365.87,0,402.17,402.17,0,352.28,351.47,0.81,350.3,348.5,1.8,352.77,353.47,-0.7,352.16,351.84,0.32,352.33,352.33,0,2.23
VOX,99.77,99.77,0,122.64,122.64,0,96.78,96.77,0.01,95.54,95.53,0.01,97.3,97.29,0.01,96.81,96.81,0,96.91,96.91,0,0.03
BND,75.66,75.66,0,81.17,81.17,0,75.5,75.5,0,75.72,75.71,0.01,75.4,75.4,0,75.48,75.48,0,75.38,75.38,0,0.01
BNDX,50.07,50.07,0,53.79,53.79,0,49.77,49.77,0,49.79,49.79,0,49.72,49.72,0,49.76,49.76,0,49.75,49.75,0,0
VXUS,54.17,54.17,0,60.28,60.28,0,50.44,50.4,0.04,50.49,50.51,-0.02,50.59,50.58,0.01,50.45,50.44,0.01,50.55,50.55,0,0.04
VTI,199.25,199.25,0,222,222,0,191.26,191.23,0.03,189.96,189.71,0.25,192.26,192.26,0,191.44,191.44,0,191.67,191.67,0,0.28
VPU,154.93,154.93,0,151.55,151.55,0,152.18,152.14,0.04,151.97,151.97,0,152.68,152.67,0.01,152.04,152.03,0.01,152.34,152.34,0,0.06
XTN,75.01,75.01,0,85.53,85.53,0,67.75,67.75,0,67.73,67.73,0,67.79,67.79,0,67.8,67.81,-0.01,67.91,67.91,0,0.01
,,,,,,,,,,,,,,,,,,,,,,
,,Net absolute Diff:,0,,Net absolute Diff:,0,,Net absolute Diff:,1.32,,Net absolute Diff:,2.92,,Net absolute Diff:,1.02,,Net absolute Diff:,0.54,,Net absolute Diff:,0,